iso3c,country,year,life_expectancy,co2_emissions,gdp_per_cap,region,income,longitude,latitude
MYS,Malaysia,2011,74.683,7.69276399338172,9372.00753879807,Z4,XT,101.684,3.12433
MYS,Malaysia,1999,72.418,4.76294332301707,6588.19671896298,Z4,XT,101.684,3.12433
MYS,Malaysia,2000,72.594,5.42091501357427,7007.04150381685,Z4,XT,101.684,3.12433
MYS,Malaysia,2001,72.782,5.72017576865678,6890.36414795931,Z4,XT,101.684,3.12433
MYS,Malaysia,2002,72.976,5.52464738362826,7112.05559471704,Z4,XT,101.684,3.12433
MYS,Malaysia,2003,73.17,6.40746098021934,7374.3430492443,Z4,XT,101.684,3.12433
MYS,Malaysia,2004,73.364,6.50347962410818,7720.83042852016,Z4,XT,101.684,3.12433
MYS,Malaysia,2005,73.555,6.79185329613219,7974.25085267787,Z4,XT,101.684,3.12433
MYS,Malaysia,2006,73.744,6.40039541315247,8255.2860438746,Z4,XT,101.684,3.12433
MYS,Malaysia,2018,75.997,NA,12120.0832647974,Z4,XT,101.684,3.12433
MYS,Malaysia,2014,75.268,8.13021031314655,10524.0707387983,Z4,XT,101.684,3.12433
MYS,Malaysia,2015,75.461,NA,10912.1513483495,Z4,XT,101.684,3.12433
MYS,Malaysia,2012,74.877,7.5239444644568,9743.10479725276,Z4,XT,101.684,3.12433
MYS,Malaysia,2013,75.072,8.02577373847224,10061.7154366437,Z4,XT,101.684,3.12433
MYS,Malaysia,2016,75.649,NA,11243.9959118255,Z4,XT,101.684,3.12433
MYS,Malaysia,2017,75.828,NA,11728.980287931,Z4,XT,101.684,3.12433
PHL,Philippines,1995,68.231,0.869981305767011,1507.69888677137,Z4,XN,121.035,14.5515
PHL,Philippines,1996,68.431,0.870608701756031,1559.68215221074,Z4,XN,121.035,14.5515
PHL,Philippines,1997,68.574,0.974356752959474,1603.96062214232,Z4,XN,121.035,14.5515
PHL,Philippines,1998,68.675,0.927258959427557,1559.66199351904,Z4,XN,121.035,14.5515
PHL,Philippines,2007,69.37,0.807223733775072,1968.8124233261,Z4,XN,121.035,14.5515
PHL,Philippines,2008,69.515,0.86751518517779,2016.81465548863,Z4,XN,121.035,14.5515
PHL,Philippines,2009,69.667,0.839352461556811,2006.5938426792,Z4,XN,121.035,14.5515
PHL,Philippines,2010,69.823,0.903181400916366,2124.05676974627,Z4,XN,121.035,14.5515
PHL,Philippines,2011,69.984,0.894591011344799,2164.8550803835,Z4,XN,121.035,14.5515
PHL,Philippines,1999,68.744,0.906109139034761,1572.89144657053,Z4,XN,121.035,14.5515
PHL,Philippines,2000,68.793,0.939932650573128,1607.19778266555,Z4,XN,121.035,14.5515
PHL,Philippines,2001,68.835,0.891794023795276,1618.81617710988,Z4,XN,121.035,14.5515
PHL,Philippines,2002,68.88,0.876760176929569,1642.93790251345,Z4,XN,121.035,14.5515
PHL,Philippines,2003,68.937,0.860013617256597,1689.5728950008,Z4,XN,121.035,14.5515
PHL,Philippines,2004,69.013,0.874342959581111,1767.43790087649,Z4,XN,121.035,14.5515
PHL,Philippines,2005,69.112,0.866856477606753,1817.21986692869,Z4,XN,121.035,14.5515
PHL,Philippines,2006,69.233,0.770210951524756,1878.49693319814,Z4,XN,121.035,14.5515
PHL,Philippines,2015,70.644,NA,2605.49359885296,Z4,XN,121.035,14.5515
PHL,Philippines,2012,70.149,0.938207478743659,2270.52586542601,Z4,XN,121.035,14.5515
PHL,Philippines,2013,70.315,0.992488921383575,2390.12929068713,Z4,XN,121.035,14.5515
PHL,Philippines,2014,70.481,1.05114222978493,2495.5752945948,Z4,XN,121.035,14.5515
PHL,Philippines,2016,70.802,NA,2743.19836346451,Z4,XN,121.035,14.5515
PHL,Philippines,2017,70.952,NA,2884.38059418533,Z4,XN,121.035,14.5515
PHL,Philippines,2018,71.095,NA,3021.98686253681,Z4,XN,121.035,14.5515
SGP,Singapore,1995,76.2951219512195,11.9659796294857,29473.4604698392,Z4,XD,103.85,1.28941
SGP,Singapore,1996,76.5951219512195,13.5393240642667,30413.931539539,Z4,XD,103.85,1.28941
SGP,Singapore,1997,76.8975609756098,15.3923585591082,31856.5920491569,Z4,XD,103.85,1.28941
SGP,Singapore,2006,80.1414634146341,6.99763209822407,42785.5926705528,Z4,XD,103.85,1.28941
SGP,Singapore,2007,80.4414634146342,4.34260609828839,44742.4169784442,Z4,XD,103.85,1.28941
SGP,Singapore,2008,80.790243902439,7.46676196781582,43216.2491859386,Z4,XD,103.85,1.28941
SGP,Singapore,2009,81.2414634146342,11.2144225257455,41983.0670088349,Z4,XD,103.85,1.28941
SGP,Singapore,2010,81.5414634146342,10.9604087826578,47236.9602345421,Z4,XD,103.85,1.28941
SGP,Singapore,1998,77.3,12.3795388740056,30116.5354836979,Z4,XD,103.85,1.28941
SGP,Singapore,1999,77.5512195121951,12.6478205219208,31586.968713402,Z4,XD,103.85,1.28941
SGP,Singapore,2000,77.9512195121951,12.1666243367801,33850.7601751174,Z4,XD,103.85,1.28941
SGP,Singapore,2001,78.2512195121951,11.9722151603234,32597.6199408294,Z4,XD,103.85,1.28941
SGP,Singapore,2002,78.5512195121951,11.3102312048755,33565.9722945406,Z4,XD,103.85,1.28941
SGP,Singapore,2003,79.0390243902439,7.56601372694738,35609.6841743587,Z4,XD,103.85,1.28941
SGP,Singapore,2004,79.490243902439,6.83382557364837,38619.8591164918,Z4,XD,103.85,1.28941
SGP,Singapore,2005,79.990243902439,7.1169214316223,40498.7061294602,Z4,XD,103.85,1.28941
SGP,Singapore,2014,82.4951219512195,10.306331909983,52994.0383707397,Z4,XD,103.85,1.28941
SGP,Singapore,2011,81.7439024390244,8.72379741990645,49159.3810385033,Z4,XD,103.85,1.28941
SGP,Singapore,2012,81.9951219512195,6.84675846508862,50102.2312032794,Z4,XD,103.85,1.28941
SGP,Singapore,2013,82.2463414634147,10.3119819334926,51671.1498730881,Z4,XD,103.85,1.28941
SGP,Singapore,2018,83.1463414634146,NA,58247.8726396071,Z4,XD,103.85,1.28941
SGP,Singapore,2015,82.7439024390244,NA,53883.8182408117,Z4,XD,103.85,1.28941
SGP,Singapore,2016,82.8463414634146,NA,54764.8647564642,Z4,XD,103.85,1.28941
SGP,Singapore,2017,83.0951219512195,NA,56740.7531212853,Z4,XD,103.85,1.28941
THA,Thailand,1996,70.215,2.9977464563306,3690.24008092215,Z4,XT,100.521,13.7308
THA,Thailand,1995,70.191,2.70995520998659,3531.74938521251,Z4,XT,100.521,13.7308
THA,Thailand,2005,72.099,3.78297022163734,4337.87871121315,Z4,XT,100.521,13.7308
THA,Thailand,2006,72.499,3.82978066671067,4525.9588034838,Z4,XT,100.521,13.7308
THA,Thailand,2007,72.916,3.81443633363703,4745.30443046598,Z4,XT,100.521,13.7308
THA,Thailand,2008,73.341,3.79437667718848,4801.87675876636,Z4,XT,100.521,13.7308
THA,Thailand,2009,73.766,4.00202844940823,4744.75659329577,Z4,XT,100.521,13.7308
THA,Thailand,2010,74.184,4.19564218352584,5076.34299245077,Z4,XT,100.521,13.7308
THA,Thailand,2011,74.593,4.12210656943764,5094.4667683787,Z4,XT,100.521,13.7308
THA,Thailand,2012,74.992,4.37228240179467,5437.87091479318,Z4,XT,100.521,13.7308
THA,Thailand,2013,75.378,4.40371476195856,5558.72395316176,Z4,XT,100.521,13.7308
THA,Thailand,2014,75.747,4.62037714609842,5589.31172026118,Z4,XT,100.521,13.7308
THA,Thailand,2015,76.091,NA,5741.33966351835,Z4,XT,100.521,13.7308
THA,Thailand,2016,76.403,NA,5911.95121449317,Z4,XT,100.521,13.7308
THA,Thailand,2017,76.683,NA,6128.65815796911,Z4,XT,100.521,13.7308
THA,Thailand,2018,76.931,NA,6361.62499026563,Z4,XT,100.521,13.7308
THA,Thailand,2004,71.728,3.74162608283408,4190.47915884454,Z4,XT,100.521,13.7308
THA,Thailand,2000,70.623,2.87947900582155,3458.34940546633,Z4,XT,100.521,13.7308
THA,Thailand,1997,70.267,3.05550277253043,3546.37418295118,Z4,XT,100.521,13.7308
THA,Thailand,1998,70.348,2.66862598248801,3236.37219024565,Z4,XT,100.521,13.7308
THA,Thailand,1999,70.463,2.82712760779055,3345.58987549774,Z4,XT,100.521,13.7308
THA,Thailand,2001,70.832,3.06268206478407,3544.43849135551,Z4,XT,100.521,13.7308
THA,Thailand,2002,71.089,3.25152549778023,3731.26452885342,Z4,XT,100.521,13.7308
THA,Thailand,2003,71.389,3.47908412389268,3969.7283231286,Z4,XT,100.521,13.7308
TLS,Timor-Leste,1998,57.011,NA,NA,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,1999,58.037,NA,NA,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2001,59.945,NA,731.63541401813,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2002,60.901,0.174866206998203,666.71981424076,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2003,61.888,0.170358607466097,635.358941335131,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2000,59.002,NA,640.815252350928,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2009,66.796,0.211634429481409,749.918473033443,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2010,67.186,0.214616427820905,806.40786170986,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2011,67.477,0.220714889534304,838.188712186125,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2012,67.72,0.258924583890118,873.055997589049,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2013,67.953,0.381550253837917,875.913474524434,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2014,68.197,0.399696508054373,898.508843995978,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2015,68.459,NA,908.961089658533,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2016,68.735,NA,923.489788257798,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2004,62.893,0.181106356358159,621.632782986268,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2005,63.882,0.176876504192898,625.442711942326,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2006,64.803,0.176778180930943,587.173261676576,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2007,65.61,0.176911824869354,634.762855027672,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2008,66.276,0.191092548920773,693.991612776827,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,1995,53.538,NA,NA,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,1996,54.737,NA,NA,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,1997,55.907,NA,NA,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2017,69.007,NA,871.279025832763,Z4,XN,125.567,-8.56667
TLS,Timor-Leste,2018,69.26,NA,847.636698982352,Z4,XN,125.567,-8.56667
VNM,Vietnam,1995,71.923,0.388334427684272,583.314084579776,Z4,XN,105.825,21.0069
VNM,Vietnam,1996,72.168,0.455743274211853,628.084147112091,Z4,XN,105.825,21.0069
